Source,Target,Type,id,label,timeset,weight
thomassenecal,laf1surcanal,Directed,513,,,1.0
lauraduracell,schecoperez,Directed,514,,,1.0
lauraduracell,laaficion,Directed,515,,,1.0
lauraduracell,pirellisport,Directed,516,,,1.0
mashiromartinez,suttonimages,Directed,528,,,1.0
dexpress_sport,dexpress_sport,Directed,529,,,1.0
mashiromartinez,dexpress_sport,Directed,530,,,1.0
mashiromartinez,lewishamilton,Directed,531,,,1.0
mashiromartinez,sebvettelnews,Directed,532,,,1.0
mashiromartinez,scuderiaferrari,Directed,533,,,1.0
mashiromartinez,f1,Directed,534,,,1.0
fabiobusolo,valtteribottas,Directed,539,,,1.0
fabiobusolo,lewishamilton,Directed,540,,,1.0
fabiobusolo,skysportf1hd,Directed,541,,,1.0
fabiobusolo,scuderiaferrari,Directed,542,,,1.0
casulafede,casulafede,Directed,551,,,1.0
casulafede,scuderiaferrari,Directed,552,,,1.0
sinkoftears,formulahumor,Directed,564,,,1.0
sinkoftears,mercedesamgf1,Directed,565,,,1.0
sinkoftears,scuderiaferrari,Directed,566,,,1.0
anamariia_k,ausgrandprix,Directed,585,,,1.0
anamariia_k,f1,Directed,586,,,1.0
moey2612,mercedesamgf1,Directed,587,,,1.0
moey2612,momentsau,Directed,588,,,1.0
moey2612,scuderiaferrari,Directed,590,,,1.0
bbcsport,bbcsport,Directed,610,,,1.0
giova_s_89,valtteribottas,Directed,615,,,1.0
giova_s_89,lewishamilton,Directed,616,,,1.0
giova_s_89,skysportf1hd,Directed,617,,,1.0
htswjgblues1,mercedesamgf1,Directed,619,,,1.0
camigl10,valtteribottas,Directed,632,,,1.0
camigl10,f1,Directed,633,,,1.0
paulkitto,channel4,Directed,634,,,1.0
paulkitto,aussiegrit,Directed,635,,,1.0
paulkitto,sebvettelnews,Directed,636,,,1.0
paulkitto,c4f1,Directed,637,,,1.0
kingkongtv,aztecaguate,Directed,706,,,1.0
kingkongtv,scuderiaferrari,Directed,707,,,1.0
kingkongtv,f1,Directed,708,,,1.0
ruizecheverria,scuderiaferrari,Directed,711,,,1.0
ruizecheverria,ruizecheverria,Directed,712,,,1.0
thomasmiles77,georgeyhowson95,Directed,723,,,1.0
thomasmiles77,alayzell20297,Directed,725,,,1.0
thomasmiles77,essaarmsport,Directed,726,,,1.0
thomasmiles77,_helenahicks,Directed,727,,,1.0
diabloesparza,valtteribottas,Directed,728,,,1.0
diabloesparza,f1,Directed,729,,,1.0
diabloesparza,mercedesamgf1,Directed,730,,,1.0
diabloesparza,scuderiaferrari,Directed,731,,,1.0
cec_thaina,suttonimages,Directed,746,,,1.0
cec_thaina,mercedesamgf1,Directed,747,,,1.0
cec_thaina,lewishamilton,Directed,748,,,1.0
saetta_mcqueen,skysportf1hd,Directed,755,,,1.0
saetta_mcqueen,scuderiaferrari,Directed,756,,,1.0
saetta_mcqueen,giulialabo,Directed,757,,,1.0
delavallee27,thomassenecal,Directed,769,,,1.0
delavallee27,valtteribottas,Directed,771,,,1.0
delavallee27,mercedesamgf1,Directed,772,,,1.0
_helenahicks,alayzell20297,Directed,785,,,1.0
_helenahicks,essaarmsport,Directed,786,,,1.0
nuzzl33man,nuzzl33man,Directed,811,,,1.0
nuzzl33man,f1,Directed,812,,,1.0
nuzzl33man,anto_giovinazzi,Directed,813,,,1.0
josephf198,bravofernandof1,Directed,845,,,1.0
alycienta_44,alycienta_44,Directed,864,,,1.0
alycienta_44,anto_giovinazzi,Directed,865,,,1.0
bellatmg,f1,Directed,904,,,1.0
bellatmg,max33verstappen,Directed,905,,,1.0
bellatmg,valtteribottas,Directed,906,,,1.0
rbeef81,valtteribottas,Directed,918,,,1.0
rbeef81,alo_oficial,Directed,919,,,1.0
rbeef81,danielricciardo,Directed,920,,,1.0
rbeef81,haasf1team,Directed,921,,,1.0
odaarksoul_,sebvettelnews,Directed,945,,,1.0
odaarksoul_,scuderiaferrari,Directed,946,,,1.0
odaarksoul_,f1,Directed,947,,,1.0
cconcep240,scuderiaferrari,Directed,960,,,1.0
cconcep240,f1,Directed,961,,,1.0
cconcep240,pirellisport,Directed,962,,,1.0
cconcep240,formulahumor,Directed,963,,,1.0
oxodox,f1,Directed,970,,,1.0
oxodox,oxodox,Directed,971,,,1.0
totalplayco,rtlde,Directed,1009,,,1.0
totalplayco,f1,Directed,1010,,,1.0
totalplayco,podolski10,Directed,1011,,,1.0
ashdawson147,mercedesamgf1,Directed,1034,,,1.0
ashdawson147,valtteribottas,Directed,1035,,,1.0
ashdawson147,f1,Directed,1036,,,1.0
ashdawson147,scuderiaferrari,Directed,1037,,,1.0
benjami74285198,mattzel89,Directed,1038,,,1.0
benjami74285198,f1writers,Directed,1039,,,1.0
benjami74285198,suttonimages,Directed,1040,,,1.0
acastillo1594,bravofernandof1,Directed,1041,,,1.0
acastillo1594,mclarenf1,Directed,1042,,,1.0
acastillo1594,soymotor,Directed,1043,,,1.0
