id,label,timeset,followed,followers,tweets,favorites,time zone,componentnumber,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,strongcompnum,pageranks,clustering,eigencentrality
fabi59460,fabi59460,,4453,882,60650,55972,,0,4,0,10,10,0.0,10.0,10.0,2.0,0.9166666666666666,0.9545454545454546,0.0,0.0,0.103223845,207,7.349083140198683E-4,0.02222222276031971,0.0
mohdawwal_,mohdawwal_,,277,879,13539,1532,,0,2,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.0232956,208,7.349083140198683E-4,0.1666666716337204,0.0
georgeyhowson95,georgeyhowson95,,604,861,8795,3736,Casablanca,0,1,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.5007763E-6,2.5303396E-7,209,8.91110441742804E-4,0.1666666716337204,0.0029423920409498336
fishtrenado,fishtrenado,,5001,836,242171,159794,Mexico City,0,7,0,12,12,0.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.06086509,210,7.349083140198683E-4,0.03030303120613098,0.0
fc3srx7rx7,fc3srx7rx7,,1231,824,46333,28722,,0,3,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.059107684,211,7.349083140198683E-4,0.0833333358168602,0.0
mathhscosta,mathhscosta,,407,821,20246,5731,Brasilia,0,2,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.019318743,212,7.349083140198683E-4,0.3333333432674408,0.0
filippo898,filippo898,,5001,820,140494,112173,Rome,0,2,0,9,9,0.0,9.0,9.0,2.0,0.8,0.875,0.0,0.0,0.093354814,213,7.349083140198683E-4,0.0416666679084301,0.0
hedelmelo,hedelmelo,,1646,799,5158,124,La Paz,0,0,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.05280126,214,7.349083140198683E-4,0.1666666716337204,0.0
chrissiehotspur,chrissiehotspur,,2321,798,15415,5847,Sydney,0,0,0,6,6,0.0,6.0,6.0,2.0,0.75,0.8333333333333334,0.0,0.0,0.01451609,215,7.349083140198683E-4,0.0,0.0
the_awesone_19,the_awesone_19,,1063,787,51756,1559,Rome,0,8,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.029482638,216,7.349083140198683E-4,0.0833333358168602,0.0
serafinicole,serafinicole,,693,782,10810,4208,Athens,0,2,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.06068568,217,7.349083140198683E-4,0.1666666716337204,0.0
fiendkh__xlil,fiendkh__xlil,,402,754,66564,45107,Pacific Time (US & Canada),0,2,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.023690313,218,7.349083140198683E-4,0.1666666716337204,0.0
darioarv,darioarv,,1246,750,25378,852,Bogota,0,7,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.05595872,219,7.349083140198683E-4,0.1666666716337204,0.0
