id;label;timeset;followed;followers;tweets;favorites;time zone
toddkellyracing;toddkellyracing;;22;4220;144;7;Melbourne
crazymkenya;crazymkenya;;664;4093;88545;499;Nairobi
graftechweb;graftechweb;;2675;4043;13618;877;Rome
habraham15;habraham15;;4071;3988;65740;14410;Central Time (US & Canada)
alexander_arold;alexander_arold;;1539;3799;35840;49087;Santiago
arradmanesh;arradmanesh;;3639;3761;3711;9461;
scuderia7;scuderia7;;2251;3678;22467;9969;London
kimsterindo;kimsterindo;;433;3429;32683;4785;Jakarta
srose93;srose93;;3369;3300;31012;50;Europe/London
franckdeabreu;franckdeabreu;;5001;3288;157205;80909;Paris
motorsport_ed;motorsport_ed;;150;3287;14055;1788;Amsterdam
masterlap_com;masterlap_com;;384;3252;5108;278;Pacific Time (US & Canada)
soy_f1;soy_f1;;183;3247;10869;11445;Madrid
marcoasfalto;marcoasfalto;;2537;3170;23451;20024;
ruizecheverria;ruizecheverria;;1698;3030;17021;140;Mexico City
altavelocidadtv;altavelocidadtv;;2545;2993;7665;3645;Mountain Time (US & Canada)
jaxx_f1;jaxx_f1;;2862;2983;10626;8881;Casablanca
alessandrosala1;alessandrosala1;;3518;2980;73607;17652;
proassad;proassad;;3575;2834;545147;3622;Wellington
mynameisdomii;mynameisdomii;;1038;2807;11629;16460;Warsaw
formula1fanzone;formula1fanzone;;294;2624;14775;22863;Buenos Aires
vineshvnair;vineshvnair;;1894;2549;8277;2057;Abu Dhabi
kingkongtv;kingkongtv;;464;2486;12232;9274;Pacific Time (US & Canada)
elierizkf1;elierizkf1;;998;2414;43447;34756;Istanbul
tientamle;tientamle;;3422;2411;44017;57522;Hanoi
lovemaurizio;lovemaurizio;;502;2399;3103;3819;
lzlark;lzlark;;2976;2398;5029;3184;Central Time (US & Canada)
zaharamossman;zaharamossman;;3303;2343;19204;8107;Eastern Time (US & Canada)
ryanlores;ryanlores;;4995;2256;33421;9810;Eastern Time (US & Canada)
rach_f1;rach_f1;;808;2229;12782;236;New Delhi
bellatmg;bellatmg;;2346;2214;95512;172987;
petersaddicted;petersaddicted;;1841;2190;37726;17879;Rome
forof1paraguay;forof1paraguay;;101;2119;7101;372;La Paz
ashdawson147;ashdawson147;;2423;2118;120371;79097;London
sadler08;sadler08;;2918;2057;10460;194;
russellstranspo;russellstranspo;;5000;2026;2279;7076;London
simongbrooks;simongbrooks;;1498;2011;33994;25017;
stevestevens47;stevestevens47;;55;1999;574916;250;London
spinosoangelo;spinosoangelo;;4999;1907;71144;2293;
adorvehim;adorvehim;;866;1892;21020;38010;Pacific Time (US & Canada)
allthingsvettel;allthingsvettel;;398;1883;8022;4134;London
sinkoftears;sinkoftears;;396;1862;58166;42591;Amsterdam
yhacbec;yhacbec;;2085;1838;81811;2766;Central Time (US & Canada)
brianwalkerchi;brianwalkerchi;;1228;1825;10177;259;Central Time (US & Canada)
cec_thaina;cec_thaina;;2730;1821;714;685;
agus420;agus420;;1669;1819;54126;62;Buenos Aires
johnni47973385;johnni47973385;;1312;1662;76016;21636;London
albertoguaranda;albertoguaranda;;1119;1633;67132;7422;Eastern Time (US & Canada)
nickyfox22;nickyfox22;;1507;1605;41964;86203;
cronoyellow27;cronoyellow27;;2244;1567;83183;872;
california458;california458;;454;1552;4876;155120;
jamirocali;jamirocali;;1029;1532;82784;16117;Buenos Aires
kaenkay;kaenkay;;1926;1531;36631;359;Eastern Time (US & Canada)
saetta_mcqueen;saetta_mcqueen;;670;1518;21939;3631;Rome
irina05791;irina05791;;2494;1513;1216;666;Volgograd
dburgersdijk;dburgersdijk;;1075;1507;131571;98531;
