type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_152605961465739	152605961465739_1163082263751432	https://www.facebook.com/152605961465739/posts/1163082263751432						2016-07-31T05:14:42+0000	1469942082	"2016-07-31 07:14:42"	8	0	8	0	8	0	0	0	0	0	8	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1163081943751464	https://www.facebook.com/152605961465739/posts/1163081943751464						2016-07-31T05:13:53+0000	1469942033	"2016-07-31 07:13:53"	16	0	16	0	16	0	0	0	0	0	16	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1161337517259240	https://www.facebook.com/152605961465739/posts/1161337517259240						2016-07-28T15:32:26+0000	1469719946	"2016-07-28 17:32:26"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1160564467336545	https://www.facebook.com/152605961465739/posts/1160564467336545						2016-07-27T12:55:11+0000	1469624111	"2016-07-27 14:55:11"	5	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1159956797397312	https://www.facebook.com/152605961465739/posts/1159956797397312	"Felicidades a las anas"					2016-07-26T13:28:24+0000	1469539704	"2016-07-26 15:28:24"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1159956497397342	https://www.facebook.com/152605961465739/posts/1159956497397342	"Feliz cumpleaños."					2016-07-26T13:27:34+0000	1469539654	"2016-07-26 15:27:34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1159955097397482	https://www.facebook.com/152605961465739/posts/1159955097397482	"Ana Puertas Lopez shared Ayuntamiento de Lobras (Granada) s photo to the group: Lobreños del mundo."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13770436_930065297139374_6731808007367619445_n.jpg?oh=df5951e8c00510b7681539082d2b8f84&oe=59753837	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13770436_930065297139374_6731808007367619445_n.jpg?oh=b4dd293ad510039fc5babee5426aa2c1&oe=598598C8	https://www.facebook.com/101681576644421/photos/a.101686879977224.3020.101681576644421/930065297139374/?type=3	facebook.com	2016-07-26T13:23:14+0000	1469539394	"2016-07-26 15:23:14"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1158123124247346	https://www.facebook.com/152605961465739/posts/1158123124247346						2016-07-23T19:52:44+0000	1469303564	"2016-07-23 21:52:44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1157255661000759	https://www.facebook.com/152605961465739/posts/1157255661000759	"Ana Puertas Lopez shared Ayuntamiento de Lobras (Granada) s photo to the group: Lobreños del mundo."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13729084_927665060712731_2191764187513263307_n.jpg?oh=82cf7056a9fb89f5d5589d82db7fd576&oe=59BA1D39	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13729084_927665060712731_2191764187513263307_n.jpg?oh=d9652bb36606dc848090f526820b5342&oe=598B1AC6	https://www.facebook.com/101681576644421/photos/a.101686879977224.3020.101681576644421/927665060712731/?type=3	facebook.com	2016-07-22T13:28:03+0000	1469194083	"2016-07-22 15:28:03"	17	0	17	0	17	0	0	0	0	0	17	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1154520007940991	https://www.facebook.com/152605961465739/posts/1154520007940991						2016-07-18T15:15:02+0000	1468854902	"2016-07-18 17:15:02"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1147145148678477	https://www.facebook.com/152605961465739/posts/1147145148678477	"Ana Puertas Lopez shared Ayuntamiento de Lobras (Granada) s post to the group: Lobreños del mundo."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13592763_918186858327218_8739408199821654685_n.jpg?oh=9ff227d6ab56e58cab44799e540c6069&oe=5977F8F6	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13592763_918186858327218_8739408199821654685_n.jpg?oh=3073dc239a668cdd847791b6628eb172&oe=598B5809	https://www.facebook.com/101681576644421/photos/a.670470089765564.1073741827.101681576644421/918186858327218/?type=3	facebook.com	2016-07-07T19:10:52+0000	1467918652	"2016-07-07 21:10:52"	15	3	15	0	18	3	3	0	2	0	15	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1138115749581417	https://www.facebook.com/152605961465739/posts/1138115749581417						2016-06-23T15:49:25+0000	1466696965	"2016-06-23 17:49:25"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
link	post_user_152605961465739	152605961465739_1129884863737839	https://www.facebook.com/152605961465739/posts/1129884863737839	"Entra en la web y cuéntanos que te gusta o recomiendas de Lobras. (Al final de la página)"	https://scontent.xx.fbcdn.net/v/t39.2147-6/c32.0.130.130/p130x130/13421531_1553767058258277_715044537_n.jpg?oh=b712d68a4e0b7ce901f429078de46eb1&oe=59871492	https://external.xx.fbcdn.net/safe_image.php?d=AQDD8cbyHahH095d&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExNTUzNzY3MDU0OTI0OTQ0OjE2NzI1NTMyODM%3D&_nc_hash=AQBuCvkGbi8i7yTj	http://www.ilovealpujarra.com/lobras.php	ilovealpujarra.com	2016-06-10T18:34:57+0000	1465583697	"2016-06-10 20:34:57"	27	0	28	0	28	0	0	0	0	0	27	1	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1128390370553955	https://www.facebook.com/152605961465739/posts/1128390370553955	"Rincones de Lobras"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13335699_617143431775488_5020098640368053715_n.jpg?oh=da38412c936f66571f498211dc89b67d&oe=59BB4806	https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/13335699_617143431775488_5020098640368053715_n.jpg?oh=da86c8b37fbab4fdbec43508bb1e0cf8&oe=59873720	https://www.facebook.com/ILoveAlpujarra/photos/a.349899781833189.1073741876.127452274077942/617143431775488/?type=3	facebook.com	2016-06-08T07:30:42+0000	1465371042	"2016-06-08 09:30:42"	17	0	17	0	17	0	0	0	0	0	17	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1110524849007174	https://www.facebook.com/152605961465739/posts/1110524849007174						2016-05-14T12:24:38+0000	1463228678	"2016-05-14 14:24:38"	11	3	11	0	14	3	2	1	2	0	11	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1105361882856804	https://www.facebook.com/152605961465739/posts/1105361882856804	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"					2016-05-06T00:17:01+0000	1462493821	"2016-05-06 02:17:01"	14	8	14	1	23	8	7	1	2	0	14	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1106587506067575	https://www.facebook.com/152605961465739/posts/1106587506067575	"Um feliz dia das mães. Super beijo. Zé Antonio e Yvonice."					2016-05-07T22:10:21+0000	1462659021	"2016-05-08 00:10:21"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
link	post_user_152605961465739	152605961465739_1097395043653488	https://www.facebook.com/152605961465739/posts/1097395043653488	"En Lobras  30 de abril y 1 de mayo de 2016"	https://scontent.xx.fbcdn.net/v/t1.0-1/c5.5.590.590/s200x200/13082711_1539929852975331_4420937293762909284_n.jpg?oh=dc957a8d564440591f8c14a49342c5dc&oe=5974BEA4	https://external.xx.fbcdn.net/safe_image.php?d=AQDo3-yNe1Yrqk0y&url=https%3A%2F%2Fscontent.xx.fbcdn.net%2Fv%2Ft1.0-1%2Fc5.5.590.590%2Fs200x200%2F13082711_1539929852975331_4420937293762909284_n.jpg%3Foh%3Ddc957a8d564440591f8c14a49342c5dc%26oe%3D5974BEA4&_nc_hash=AQDF862zA41duKx4	http://ilovealpujarra.com/publicaciones/evento/lobras-jornada-historia-de-lobras-y-timar-catastro-ensenada/	ilovealpujarra.com	2016-04-23T08:34:57+0000	1461400497	"2016-04-23 10:34:57"	15	0	15	0	15	0	0	0	0	0	15	0	0	0	0	0	0
