Id,Label,Followed,Followers,Tweets,Favorites,Time Zone
en_french_coach,en_french_coach,324,155357,6744,197,Europe/London
gvandergarde,gvandergarde,446,150579,4873,1216,Amsterdam
palermocalcioit,palermocalcioit,18,149785,14068,64,Rome
sportyou,sportyou,4296,145703,97648,61,Madrid
angelomangiante,angelomangiante,984,134041,7824,2238,
marc_gene,marc_gene,25,131865,1667,77,Madrid
ymcofficial,ymcofficial,869,130520,12458,6528,Abu Dhabi
a3formula1,a3formula1,277,128684,27441,20,
catalunyaradio,catalunyaradio,638,124914,54292,2494,Madrid
estoenlinea,estoenlinea,418,124221,261626,550,Mexico City
team_penske,team_penske,490,124082,33707,5548,Quito
johnnyherbertf1,johnnyherbertf1,218,123388,2127,182,
ericsson_marcus,ericsson_marcus,173,123386,1733,105,
f1_vettel,f1_vettel,3,120166,7456,0,London
english_as,english_as,985,119956,96090,2051,Madrid
kvyatofficial,kvyatofficial,196,117047,2885,151,Greenland
formulaoneworld,formulaoneworld,26439,115476,94405,16074,Sydney
marioandretti,marioandretti,401,113203,2379,2840,Eastern Time (US & Canada)
eudeportes,eudeportes,19,110565,101851,557,Central America
f1latinamerica,f1latinamerica,139,107629,10008,7163,
twittersportsau,twittersportsau,308,102279,4504,3452,Melbourne
hondaracingf1,hondaracingf1,127,101841,4616,4968,Dublin
nursingtimes,nursingtimes,6765,99138,61882,2324,London
pirellisport,pirellisport,325,98188,9671,1716,Amsterdam
puenteadrian,puenteadrian,1554,97990,29901,1164,Buenos Aires
f1fanatic_co_uk,f1fanatic_co_uk,1012,94640,78993,2084,London
monto40,monto40,6162,94447,15366,16293,Central Time (US & Canada)
motorsport,motorsport,1979,94187,48021,1298,Eastern Time (US & Canada)
formula1game,formula1game,185,90815,13295,831,London
f1tornello,f1tornello,620,90405,29010,394,Buenos Aires
ziggosport,ziggosport,486,90183,65492,140,Amsterdam
svandoorne,svandoorne,282,89141,2918,644,Brussels
bigsportgb,bigsportgb,1218,89033,3146,11924,Amsterdam
giselle_zm,giselle_zm,1075,89005,44386,2300,Central Time (US & Canada)
formula1_motogp,formula1_motogp,72760,88738,74416,61,London
s,s,20,87779,95,72,Eastern Time (US & Canada)
radioestadio,radioestadio,413,86617,51371,677,Madrid
clarosports,clarosports,467,85925,120927,14842,Mexico City
bom_vic,bom_vic,200,83601,2701,387,Melbourne
skysportf1hd,skysportf1hd,401,80693,33617,1165,Amsterdam
beltramopaolo,beltramopaolo,725,80667,17374,410,
momentses,momentses,10,80623,13768,129,Mexico City
alfaromeousa,alfaromeousa,209,79325,2101,2344,
gbchefs,gbchefs,15297,79227,35341,9090,London
nice_claup,nice_claup,21094,78586,5045,3015,Tokyo
vettel_formel1,vettel_formel1,754,76391,9563,2001,Amsterdam
lupo55,lupo55,12186,73441,63769,2279,Buenos Aires
f1grid,f1grid,967,73218,48889,12,Quito
xuxipc,xuxipc,273,73193,72694,59585,Athens
noemidemiguel,noemidemiguel,892,72410,28912,265,Madrid
miursocial,miursocial,2661,70383,11045,8942,Rome
c4f1,c4f1,135,69578,10719,4359,London
micksdoohan,micksdoohan,283,69008,1461,556,Brisbane
btsportmotogp,btsportmotogp,287,67884,6446,147,London
sebvettelnews,sebvettelnews,435,67127,26443,5027,Athens
federicamasolin,federicamasolin,357,66316,1771,1616,Greenland
tensporttv,tensporttv,1102,65348,23331,4223,Sydney
dannyodwyer,dannyodwyer,993,65065,59634,52641,Pacific Time (US & Canada)
faz_sport,faz_sport,61,64484,48538,327,Berlin
vikyborgomeo,vikyborgomeo,12727,64353,33393,0,Athens
iotiseguo,iotiseguo,64418,62526,12759,14473,Rome
jolyonpalmer,jolyonpalmer,166,61626,804,60,
arr1910,arr1910,619,61084,84481,46372,Mexico City
telemetricof1,telemetricof1,552,60647,19603,346,Buenos Aires
gzipadelli,gzipadelli,971,60484,3018,377,Quito
monsterenergyes,monsterenergyes,697,60079,8874,10733,Madrid
alfa_romeo,alfa_romeo,155,59845,1207,1888,Belgrade
davidharewood,davidharewood,728,59780,14412,1315,Atlantic Time (Canada)
eu_dufresne,eu_dufresne,1324,59433,1821,224,Mexico City
renault_uk,renault_uk,1021,56818,7496,754,
ericbana67,ericbana67,97,56536,472,393,Melbourne
redbullcanada,redbullcanada,672,56434,10795,3925,Eastern Time (US & Canada)
piratapantani10,piratapantani10,43373,54825,854,12528,Greenland
eirsport,eirsport,2136,54681,68459,1884,Dublin
santiravidlaspy,santiravidlaspy,1082,54568,10236,1640,Santiago
boxofficialvr46,boxofficialvr46,133,54446,21631,3838,London
prost_official,prost_official,164,52549,431,461,
portaventura_es,portaventura_es,8334,52041,6088,4381,Madrid
danns_obari,danns_obari,54863,51016,9625,1262,Nairobi
simdesilvestro,simdesilvestro,162,50764,2212,94,Greenland
mobil1thegrid,mobil1thegrid,35843,50718,9988,58222,London
charlie_whiting,charlie_whiting,1504,50546,53718,6022,Quito
drivetribes,drivetribes,143,50390,1843,1123,London
trendinaliape,trendinaliape,43,50343,348126,4,Lima
ausgrandprix,ausgrandprix,1193,50127,10297,7173,Melbourne
verstappennl,verstappennl,5,49926,15590,2,Amsterdam
gumerealmadrid,gumerealmadrid,44753,49240,196554,95000,
grandprixdiary,grandprixdiary,189,47326,64167,7363,London
marcamotor,marcamotor,17233,47258,17197,187,Athens
dexpress_sport,dexpress_sport,312,47139,81538,54,London
movistar_f1,movistar_f1,152,47084,10435,1691,Madrid
clickonmotor,clickonmotor,284,47038,995,441,Pacific Time (US & Canada)
floriankoenig1,floriankoenig1,264,46317,5594,2347,
seancardo,seancardo,3805,44981,33825,2517,Nairobi
f1onnbcsports,f1onnbcsports,426,43977,24299,62,Eastern Time (US & Canada)
rbonilla,rbonilla,6,43063,11032,222,Mountain Time (US & Canada)
mexicogp,mexicogp,560,42819,14524,4743,Mexico City
diegofmejia,diegofmejia,1005,42334,31421,10036,Pacific Time (US & Canada)
f1gate,f1gate,180,42177,44322,42,Tokyo
suttonimages,suttonimages,1687,41905,15487,4442,London
shellmotorsport,shellmotorsport,645,41258,5279,1698,London
andiemacdowell3,andiemacdowell3,528,41127,28298,25936,Pacific Time (US & Canada)
